time_ns,node_id,src_ip,src_port,dst_ip,dst_port,priority,rate_bps,cc_tag
2000005493,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000006885,2,0.2,10000,0.1,100,3,95035386863,HPCC
2000008277,2,0.2,10000,0.1,100,3,94792513394,HPCC
2000009625,2,0.2,10000,0.1,100,3,94810364054,HPCC
2000010986,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000012556,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000014012,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000016305,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000017701,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000019157,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000021450,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000022846,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000024302,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000026595,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000027991,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000029447,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000031740,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000033136,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000034592,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000036885,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000038281,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000039737,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000042030,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000043426,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000044882,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000047175,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000048571,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000050027,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000052320,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000053716,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000055172,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000057465,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000058861,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000060317,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000062610,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000064006,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000065462,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000067755,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000069151,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000070607,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000072900,2,0.2,10000,0.1,100,3,100000000000,HPCC
2000074296,2,0.2,10000,0.1,100,3,100000000000,HPCC
